BAL,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PAN India,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Call Details of Mobile No '1234567890' from '15-Mar-2025' to '29-Mar-2025',,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Target No,Call Type,TOC,B Party No,LRN No,LRN TSP-LSA,Date,Time,Dur(s),First CGI Lat/Long,First CGI,Last CGI Lat/Long,Last CGI,SMSC No,Service Type,IMEI,IMSI,Call Fow No,Roam Nw,SW & MSC ID,IN TG,OUT TG,Vowifi First UE IP,Port1,Vowifi Last UE IP,Port2
1234567890,OUT,Pre,9797643102,3095,RJIL-MH,'15/03/2025',12:02:31,20,19.28889/73.05973,404-93-1000-156216834,19.28889/73.05973,404-90-6251-202525698,'-',Voice,'869742076200500','405540332979723',-,AIR MH,'9935152267',ims.mnc054.mcc405.3gppnetwork.org,,,,,
1234567890,IN,Pre,9797643114,4100,VODA-MH,'15/03/2025',13:45:51,39,19.28889/73.05973,404-93-1000-156216835,19.28889/73.05973,404-90-6251-202525698,'-',Voice,'869742076200500','405540332979723',-,AIR MH,'9935152267',10.5.62.172,ims.mnc054.mcc405.3gppnetwork.org,,,,
1234567890,SMT,Pre,AE-AIRTEL,,-,'15/03/2025',15:20:13,0,19.28889/73.05973,404-93-1000-156233985,,---,'919810051289',SMS,'869742076200500','405540332979723',-,AIR MH,'9935152267',,,,,,
1234567890,SMT,Pre,56321,,-,'15/03/2025',15:20:14,0,19.28889/73.05973,404-93-1000-156233986,,---,'919810051289',SMS,'869742076200500','405540332979723',-,AIR MH,'9890783900',,,,,,
1234567890,SMT,Pre,56321,,-,'15/03/2025',15:20:15,0,19.28889/73.05973,404-93-1000-156233987,,---,'919810051289',SMS,'869742076200500','405540332979723',-,AIR MH,'9890783900',,,,,,
1234567890,IN,Pre,1254785244,3009,AIR-PB,'15/03/2025',16:24:39,43,19.28889/73.05973,404-93-1000-156234195,19.28889/73.05973,404-90-6251-202525698,'-',Voice,'869742076200500','405540332979723',-,AIR MH,'9935152267',ims.mnc002.mcc404.3gppnetwork.org,ims.mnc054.mcc405.3gppnetwork.org,,,,
1234567890,IN,Pre,9797643103,3099,RJIL-RJ,'15/03/2025',16:58:54,30,19.28889/73.05973,404-93-1000-156234196,19.28889/73.05973,404-90-6251-202525698,'-',Voice,'869742076200500','405540332979723',-,AIR MH,'9935152267',10.123.109.154,ims.mnc054.mcc405.3gppnetwork.org,,,,
1234567890,IN,Pre,9797643114,4100,VODA-MH,'15/03/2025',17:33:59,74,19.28889/73.05973,404-93-1000-156234197,19.28889/73.05973,404-90-6251-202525698,'-',Voice,'869742076200500','405540332979723',-,AIR MH,'9935152267',10.5.31.188,ims.mnc054.mcc405.3gppnetwork.org,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
This is System generated report and needs no signature. Report generated on: 29-Mar-2025 18:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,
