---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,
                                                                                                                                                  new govt a Records,,,,,,,,,,,,,,,,,,,,,
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,
MSISDN : - 1234567890,,,,,,,,,,,,,,,,,,,,,
Report Type :- ALLINDIA Report,,,,,,,,,,,,,,,,,,,,,
From Date :- 01/03/2025 00:00:00,,,,,,,,,,,,,,,,,,,,,
Till Date :- 31/03/2025 11:37:15,,,,,,,,,,,,,,,,,,,,,
Report Index :- MP_201305547,,,,,,,,,,,,,,,,,,,,,
Report Date :- 31-Mar-2025 01:54:03 PM,,,,,,,,,,,,,,,,,,,,,
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,
Target /A PARTY NUMBER,CALL_TYPE,Type of Connection,B PARTY NUMBER,LRN- B Party Number,Translation of LRN,Call date,Call Initiation Time,Call Duration,First BTS Location,First Cell Global Id,Last BTS Location,Last Cell Global Id,SMS Centre Number,Service Type,IMEI,IMSI,Call Forwarding Number,Roaming Network/Circle,MSC ID,In TG ,Out TG
911234567890,Outgoing,PREPAID,912356852477,-,-,3/1/2025,7:23:42,1,"Lanji Madhya Pradesh 481224, India",404272291840979,"Chirmiri 2, Chirmiri (M.Corp Part), Khadganva, Koriya, Chhattisgarh",404780001135018,919823000040,SMS,861224074394390,404225013431234,-,MAG-Vodafone - India,-,-,-
911234567890,Incoming,PREPAID,912356852477,-,-,3/1/2025,7:24:01,1,"Alot Madhya Pradesh 457114, India",404600264523564,"Chirmiri 2, Chirmiri (M.Corp Part), Khadganva, Koriya, Chhattisgarh",404780001135019,919423096985,SMS,861224074394390,404225013431234,-,MAG-Vodafone - India,-,-,-
911234567890,Incoming,PREPAID,912356852477,-,-,3/1/2025,7:24:17,1,"Jiran Madhya Pradesh 458336, India",404600266632081,"Balgi, Korba (M.Corp) Part, Chhattisgarh",404780001137261,919423096985,SMS,861224074394390,404225013431234,-,MAG-Vodafone - India,-,-,-
911234567890,Incoming,PREPAID,912356852477,-,-,3/1/2025,7:27:52,1,"Meghnagar Madhya Pradesh 457772, India",404601550060092,"Balgi, Korba (M.Corp) Part, Chhattisgarh",404780001137262,919423096985,SMS,861224074394390,404225013431234,-,MAG-Vodafone - India,-,-,-
911234567890,Incoming,PREPAID,912356852477,-,-,3/1/2025,7:28:01,1,"Gwalior Road, Morena Sub-District Madhya Pradesh 476001, India",404602106235642,"Balgi, Korba (M.Corp) Part, Chhattisgarh",404780001137263,919423096985,SMS,861224074394390,404225013431234,-,MAG-Vodafone - India,-,-,-
911234567890,Outgoing,PREPAID,912356852477,-,-,3/1/2025,7:40:11,1,"Suwasara Madhya Pradesh 458888, India",404602222023323,"Balgi, Korba (M.Corp) Part, Chhattisgarh",404780001137267,919823000040,SMS,861224074394390,404225013431234,-,MAG-Vodafone - India,-,-,-
911234567890,Incoming,PREPAID,912356852477,-,-,3/1/2025,7:41:48,1,"Guna Madhya Pradesh 473105, India",40460262224512,"Balgi, Korba (M.Corp) Part, Chhattisgarh",404780001137268,919423096985,SMS,861224074394390,404225013431234,-,MAG-Vodafone - India,-,-,-
911234567890,Incoming,PREPAID,912356852466,-,-,3/1/2025,8:37:16,7,"Piploda, Madhya Pradesh 457333457333, India",40460263432501,"Balgi, Korba (M.Corp) Part, Chhattisgarh",404780001137269,-,Voice,861224074394390,404225013431234,-,MAG-Vodafone - India,919823000736,mnc022.mcc404,ims.mnc027.mcc404.3gppnetwork.org
911234567890,Incoming,PREPAID,91235685244,-,-,3/1/2025,9:12:58,22,"Piploda Madhya Pradesh 457331, India",40460263432502,"Vasant Vihar, Gwalior (M Corp.), Gwalior (Gird), Madhya Pradesh",404780001142787,-,Voice,861224074394390,404225013431234,-,MAG-Vodafone - India,919823000736,-,ims.mnc027.mcc404.3gppnetwork.org
911234567890,Outgoing,PREPAID,1235685245,3007,Bharti - Mobile-Mumbai,3/1/2025,9:31:44,208,"Jiran Madhya Pradesh 458441, India",40460263432631,"Vasant Vihar, Gwalior (M Corp.), Gwalior (Gird), Madhya Pradesh",404780001142788,-,Voice,861224074394390,404225013431234,-,MAG-Vodafone - India,919823000736,ims.mnc027.mcc404.3gppnetwork.org,SIP.MNC022.MCC404.3GPPNETWORK.ORG
911234567890,Outgoing,PREPAID,8355875656,3105,Reliance Jio - Mobile-Mumbai,3/1/2025,9:35:42,18,"Jiran Madhya Pradesh 458441, India",40460263432632,"Vasant Vihar, Gwalior (M Corp.), Gwalior (Gird), Madhya Pradesh",404780001142789,-,Voice,861224074394390,404225013431234,-,MAG-Vodafone - India,919823000736,ims.mnc027.mcc404.3gppnetwork.org,IMS.MNC022.MCC404.3GPPNETWORK.ORG
911234567890,Incoming,PREPAID,919588601740,-,-,3/1/2025,9:37:16,39,"NH-927A, Sailana Madhya Pradesh 457550, India",40460263432842,"St.Xaviorscl, Jabalpur (M Corp.) (Part), Madhya Pradesh",404780001148357,-,Voice,861224074394390,404225013431234,-,MAG-Vodafone - India,919823000736,-,ims.mnc027.mcc404.3gppnetwork.org
911234567890,Outgoing,PREPAID,9403257257,4100,Vodafone - Mobile-Maharashtra & Goa,3/1/2025,9:38:30,1357,"NH-156, Jawad Madhya Pradesh 458468, India",40460263433641,"St.Xaviorscl, Jabalpur (M Corp.) (Part), Madhya Pradesh",404780001148358,-,Voice,861224074394390,404225013431234,-,MAG-Vodafone - India,919823000736,ims.mnc027.mcc404.3gppnetwork.org,ims.mnc027.mcc404.3gppnetwork.org
911234567890,Outgoing,PREPAID,9890789012,3095,Reliance Jio - Mobile-Maharashtra & Goa,3/1/2025,10:15:22,9,"Neemuch Sub-District Madhya Pradesh 458468, India",40460263433771,"St.Xaviorscl, Jabalpur (M Corp.) (Part), Madhya Pradesh",404780001148359,-,Voice,861224074394390,404225013431234,-,MAG-Vodafone - India,919823000736,ims.mnc027.mcc404.3gppnetwork.org,IMS.MNC022.MCC404.3GPPNETWORK.ORG
911234567890,Incoming,PREPAID,918999282775,-,-,3/1/2025,10:28:11,32,"Guna Madhya Pradesh 473105, India",40460263724463,"Near Police Line/Rewa, Rewa (M Corp.), Huzur, Madhya Pradesh",404780001200271,-,Voice,861224074394390,404225013431234,-,MAG-Vodafone - India,919823000736,mnc022.mcc404,ims.mnc027.mcc404.3gppnetwork.org
911234567890,Incoming,PREPAID,917038976648,-,-,3/1/2025,10:46:19,31,"Alot Madhya Pradesh 457114, India",40460264523564,"Near Police Line/Rewa, Rewa (M Corp.), Huzur, Madhya Pradesh",404780001200272,-,Voice,861224074394390,404225013431234,-,MAG-Vodafone - India,919823000736,mnc022.mcc404,ims.mnc027.mcc404.3gppnetwork.org
911234567890,Outgoing,PREPAID,9604895947,3095,Reliance Jio - Mobile-Maharashtra & Goa,3/1/2025,11:37:43,21,"Raghogarh Madhya Pradesh 473110, India",40460266346772,"Near Police Line/Rewa, Rewa (M Corp.), Huzur, Madhya Pradesh",404780001200273,-,Voice,861224074394390,404225013431234,-,MAG-Vodafone - India,919823000736,ims.mnc027.mcc404.3gppnetwork.org,IMS.MNC022.MCC404.3GPPNETWORK.ORG
911234567890,Outgoing,PREPAID,9987052246,3007,Bharti - Mobile-Mumbai,3/1/2025,12:01:39,2,"NH-927A, Sailana Madhya Pradesh 457550, India",404604443060462,"Choudhary Colony, Mandsaur (M), Madhya Pradesh",404780001214571,-,Voice,861224074394390,404225013431234,-,MAG-Vodafone - India,919823000736,ims.mnc027.mcc404.3gppnetwork.org,SIP.MNC022.MCC404.3GPPNETWORK.ORG
911234567890,Incoming,PREPAID,919730040404,-,-,3/1/2025,12:07:18,183,"Airtel Option:- Mc5218 Smt Chourasya Devi W/O Ayodhya Prasad Tiwari.Add-Vill+Post-Chandpur, Thesi-Teonthar, Distt-Rewa.9229907893, Madhya Pradesh",404780000100123,"Choudhary Colony, Mandsaur (M), Madhya Pradesh",404780001214572,-,Voice,861224074394390,404225013431234,-,MAG-Vodafone - India,919823000736,IMS.MNC022.MCC404.3GPPNETWORK.ORG,ims.mnc027.mcc404.3gppnetwork.org
911234567890,Outgoing,PREPAID,9890789012,3095,Reliance Jio - Mobile-Maharashtra & Goa,3/1/2025,12:51:55,11,"Airtel Option:- Mc5218 Smt Chourasya Devi W/O Ayodhya Prasad Tiwari.Add-Vill+Post-Chandpur, Thesi-Teonthar, Distt-Rewa.9229907893, Madhya Pradesh",404780000100124,"Choudhary Colony, Mandsaur (M), Madhya Pradesh",404780001214573,-,Voice,861224074394390,404225013431234,-,MAG-Vodafone - India,919823000736,ims.mnc027.mcc404.3gppnetwork.org,IMS.MNC022.MCC404.3GPPNETWORK.ORG
911234567890,Outgoing,PREPAID,7038976648,3095,Reliance Jio - Mobile-Maharashtra & Goa,3/1/2025,12:58:11,53,"Airtel Option:- Mc5218 Smt Chourasya Devi W/O Ayodhya Prasad Tiwari.Add-Vill+Post-Chandpur, Thesi-Teonthar, Distt-Rewa.9229907893, Madhya Pradesh",404780000100125,"Choudhary Colony, Mandsaur (M), Madhya Pradesh",404780001214577,-,Voice,861224074394390,404225013431234,-,MAG-Vodafone - India,919823000736,ims.mnc027.mcc404.3gppnetwork.org,IMS.MNC022.MCC404.3GPPNETWORK.ORG
911234567890,Incoming,PREPAID,919518567796,-,-,3/1/2025,13:08:51,31,"Airtel Option:- Mc5218 Smt Chourasya Devi W/O Ayodhya Prasad Tiwari.Add-Vill+Post-Chandpur, Thesi-Teonthar, Distt-Rewa.9229907893, Madhya Pradesh",404780000100126,"Choudhary Colony, Mandsaur (M), Madhya Pradesh",404780001214578,-,Voice,861224074394390,404225013431234,-,MAG-Vodafone - India,919823000736,ims.mnc027.mcc404.3gppnetwork.org,ims.mnc027.mcc404.3gppnetwork.org
911234567890,Outgoing,PREPAID,7558589808,3095,Reliance Jio - Mobile-Maharashtra & Goa,3/1/2025,13:16:00,5,"Airtel Option:- Mc5218 Smt Chourasya Devi W/O Ayodhya Prasad Tiwari.Add-Vill+Post-Chandpur, Thesi-Teonthar, Distt-Rewa.9229907893, Madhya Pradesh",404780000100127,"Choudhary Colony, Mandsaur (M), Madhya Pradesh",404780001214579,-,Voice,861224074394390,404225013431234,-,MAG-Vodafone - India,919823000736,ims.mnc027.mcc404.3gppnetwork.org,IMS.MNC022.MCC404.3GPPNETWORK.ORG
911234567890,Incoming,PREPAID,919767661432,-,-,3/1/2025,13:18:46,41,"Airtel Option:- Mc5218 Smt Chourasya Devi W/O Ayodhya Prasad Tiwari.Add-Vill+Post-Chandpur, Thesi-Teonthar, Distt-Rewa.9229907893, Madhya Pradesh",404780000100128,"Barmandal, Sardarpur, Dhar, Madhya Pradesh",404780001232317,-,Voice,861224074394390,404225013431234,-,MAG-Vodafone - India,919823000736,-,ims.mnc027.mcc404.3gppnetwork.org
911234567890,Incoming,PREPAID,917038976648,-,-,3/1/2025,13:21:23,35,"Jaisinghpura2, Ujjain (M Corp.), Madhya Pradesh",404780000116621,"Barmandal, Sardarpur, Dhar, Madhya Pradesh",404780001232318,-,Voice,861224074394390,404225013431234,-,MAG-Vodafone - India,919823000736,-,ims.mnc027.mcc404.3gppnetwork.org
911234567890,Incoming,PREPAID,AX-CENTBK,-,-,3/1/2025,13:41:16,1,"Jaisinghpura2, Ujjain (M Corp.), Madhya Pradesh",404780000116622,"Barmandal, Sardarpur, Dhar, Madhya Pradesh",404780001232319,919890784015,SMS,861224074394390,404225013431234,-,MAG-Vodafone - India,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Note :- This is a System generated Report.,,,,,,,,,,,,,,,,,,,,,
