cgi,latitude,longitude,azimuth,address,maincity,subcity,mcc,mnc,lac,cellid,type,circle,operator
4.05E+13,22.78526,75.90243,,"Ind-023B_Nok_Lasudia, Telephone Exchange Lasudia, Tehsil & Dist Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.82092,75.92083,,"Ind-063C_Nok_Mangliyate, Mangaliyatelephone Exchange, Mangaliya, Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.82092,75.92083,,"Ind-063C_Nok_Mangliyate, Mangaliyatelephone Exchange, Mangaliya, Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.82092,75.92083,,"Ind-063C_Nok_Mangliyate, Mangaliyatelephone Exchange, Mangaliya, Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.71819,75.92425,,"Ind-103D_Nok_Manavtanagar, Manwata Nagar Telephone Exchange, Manwata Nagar, Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.71819,75.92425,,"Ind-103D_Nok_Manavtanagar, Manwata Nagar Telephone Exchange, Manwata Nagar, Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.71819,75.92425,,"Ind-103D_Nok_Manavtanagar, Manwata Nagar Telephone Exchange, Manwata Nagar, Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.67357,75.90727,,"Ind-115D_Nok_Paldaex, Telphone Exchange Palda, Tehsil & Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.67357,75.90727,,"Ind-115D_Nok_Paldaex, Telphone Exchange Palda, Tehsil & Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.67357,75.90727,,"Ind-115D_Nok_Paldaex, Telphone Exchange Palda, Tehsil & Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.62786,75.80753,,"Ind-024B_Nok_Rau, Telephone Exchange Rau Tehsil & Dist: Indore, Mhow",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.62786,75.80753,,"Ind-024B_Nok_Rau, Telephone Exchange Rau Tehsil & Dist: Indore, Mhow",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.62786,75.80753,,"Ind-024B_Nok_Rau, Telephone Exchange Rau Tehsil & Dist: Indore, Mhow",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.74045,75.78688,,"Ind-053C_Nok_Gandhinagarex, Telephone Exchange Gandinagar, Tehsil & Dist Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132212,22.74045,75.78688,,"Ind-053C_Nok_Gandhinagarex, Telephone Exchange Gandinagar, Tehsil & Dist Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132213,22.74045,75.78688,,"Ind-053C_Nok_Gandhinagarex, Telephone Exchange Gandinagar, Tehsil & Dist Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132221,22.70284,75.9116,,"Ind-030B_Nok_Brajeshwari, Brijashwari Colony, Near Pipliya Hana Chouraha, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132222,22.70284,75.9116,,"Ind-030B_Nok_Brajeshwari, Brijashwari Colony, Near Pipliya Hana Chouraha, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132223,22.70284,75.9116,,"Ind-030B_Nok_Brajeshwari, Brijashwari Colony, Near Pipliya Hana Chouraha, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132231,22.6891,75.89345,,"Ind-075C_Nok_Nemawarroad, Ravi Nagar, Chhajlani Comp. Ring Road Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132232,22.6891,75.89345,,"Ind-075C_Nok_Nemawarroad, Ravi Nagar, Chhajlani Comp. Ring Road Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132233,22.6891,75.89345,,"Ind-075C_Nok_Nemawarroad, Ravi Nagar, Chhajlani Comp. Ring Road Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132241,22.77625,75.94138,,"Ind-153F_Nok_Omaxe_City1, R.Paani Ki Tanki Omaxe City -1 Bye-Pass Road Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132242,22.77625,75.94138,,"Ind-153F_Nok_Omaxe_City1, R.Paani Ki Tanki Omaxe City -1 Bye-Pass Road Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132243,22.77625,75.94138,,"Ind-153F_Nok_Omaxe_City1, R.Paani Ki Tanki Omaxe City -1 Bye-Pass Road Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132251,22.80433,75.91134,,"Ind-187F_Nok_Lasudia2, Sanchi Gugdh Sangh, Mangliya Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132252,22.80433,75.91134,,"Ind-187F_Nok_Lasudia2, Sanchi Gugdh Sangh, Mangliya Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132253,22.80433,75.91134,,"Ind-187F_Nok_Lasudia2, Sanchi Gugdh Sangh, Mangliya Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132261,22.76252,75.92464,,"Ind-188F_Nok_Nipaniya, 43, Summer Park Colony, Nipaniya Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132262,22.76252,75.92464,,"Ind-188F_Nok_Nipaniya, 43, Summer Park Colony, Nipaniya Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132263,22.76252,75.92464,,"Ind-188F_Nok_Nipaniya, 43, Summer Park Colony, Nipaniya Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132271,22.66775,75.79753,,"Ind-106D_Nok_Cat, Centre For Advanced Technology, Rajendra Nagar, Indore, Rau",,,,,,,2g,Madhya Pradesh,BSNL
40458733132272,22.66775,75.79753,,"Ind-106D_Nok_Cat, Centre For Advanced Technology, Rajendra Nagar, Indore, Rau",,,,,,,2g,Madhya Pradesh,BSNL
40458733132273,22.66775,75.79753,,"Ind-106D_Nok_Cat, Centre For Advanced Technology, Rajendra Nagar, Indore, Rau",,,,,,,2g,Madhya Pradesh,BSNL
40458733132281,22.72934,75.80965,,"Ind-107D_Nok_Airport, Devi Ahilya Bai Holkar Airport Campus Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132282,22.72934,75.80965,,"Ind-107D_Nok_Airport, Devi Ahilya Bai Holkar Airport Campus Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132283,22.72934,75.80965,,"Ind-107D_Nok_Airport, Devi Ahilya Bai Holkar Airport Campus Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132291,22.81431,75.85283,,"Ind-123D_Nok_Vyenkateshwar, Venkateshwar College, Sanver Road, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132292,22.81431,75.85283,,"Ind-123D_Nok_Vyenkateshwar, Venkateshwar College, Sanver Road, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132293,22.81431,75.85283,,"Ind-123D_Nok_Vyenkateshwar, Venkateshwar College, Sanver Road, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132301,22.65564,75.82392,,"Ind-139D_Nok_Abrdips, Ips College Ab Road Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132302,22.65564,75.82392,,"Ind-139D_Nok_Abrdips, Ips College Ab Road Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132303,22.65564,75.82392,,"Ind-139D_Nok_Abrdips, Ips College Ab Road Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132311,22.67296,75.87934,,"Ind-182F_Nok_Ranibagh, 4, Shri Vihar Colony, Asharam Bapu Ashram, Khandwa Road, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132312,22.67296,75.87934,,"Ind-182F_Nok_Ranibagh, 4, Shri Vihar Colony, Asharam Bapu Ashram, Khandwa Road, Indore",,,,,,,2g,Madhya Pradesh,BSNL
4.05E+13,22.67296,75.87934,,"Ind-182F_Nok_Ranibagh, 4, Shri Vihar Colony, Asharam Bapu Ashram, Khandwa Road, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132321,22.6376,75.81026,,"Ind-183F_Nok_Rau2, Shri Bihari Lal Patidar 9/88 Naya Pura, Rau Indore, Mhow",,,,,,,2g,Madhya Pradesh,BSNL
40458733132322,22.6376,75.81026,,"Ind-183F_Nok_Rau2, Shri Bihari Lal Patidar 9/88 Naya Pura, Rau Indore, Mhow",,,,,,,2g,Madhya Pradesh,BSNL
40458733132323,22.6376,75.81026,,"Ind-183F_Nok_Rau2, Shri Bihari Lal Patidar 9/88 Naya Pura, Rau Indore, Mhow",,,,,,,2g,Madhya Pradesh,BSNL
40458733132324,22.6376,75.81026,,"Ind-183F_Nok_Rau2, Shri Bihari Lal Patidar 9/88 Naya Pura, Rau Indore, Mhow",,,,,,,2g,Madhya Pradesh,BSNL
40458733132331,22.75831,75.79485,,"Ind-197F_Nok_Badabangarda, Gram: Bangarda Bada Teh & Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132332,22.75831,75.79485,,"Ind-197F_Nok_Badabangarda, Gram: Bangarda Bada Teh & Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132333,22.75831,75.79485,,"Ind-197F_Nok_Badabangarda, Gram: Bangarda Bada Teh & Dist: Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132341,22.77044,75.84842,,"Ind-061C_Nok_Sanwerroadtex, Saver Road Tel. Exch. Above State Bank Of Indore, Saver Road, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132342,22.77044,75.84842,,"Ind-061C_Nok_Sanwerroadtex, Saver Road Tel. Exch. Above State Bank Of Indore, Saver Road, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132343,22.77044,75.84842,,"Ind-061C_Nok_Sanwerroadtex, Saver Road Tel. Exch. Above State Bank Of Indore, Saver Road, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132351,22.62586,75.79024,,"Ind-208F_Nok_Iim_Rau, Iim Rau, District Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132352,22.62586,75.79024,,"Ind-208F_Nok_Iim_Rau, Iim Rau, District Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132353,22.62586,75.79024,,"Ind-208F_Nok_Iim_Rau, Iim Rau, District Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132361,22.61544,75.79718,,"Ind-234H_Nok_Umeriaroad_Ip, Virendra Singh Gaud Oppsite Canara Bank Pigdambar Tehsil & Distt Indore, Pigdember",,,,,,,2g,Madhya Pradesh,BSNL
40458733132362,22.61544,75.79718,,"Ind-234H_Nok_Umeriaroad_Ip, Virendra Singh Gaud Oppsite Canara Bank Pigdambar Tehsil & Distt Indore, Pigdember",,,,,,,2g,Madhya Pradesh,BSNL
40458733132363,22.61544,75.79718,,"Ind-234H_Nok_Umeriaroad_Ip, Virendra Singh Gaud Oppsite Canara Bank Pigdambar Tehsil & Distt Indore, Pigdember",,,,,,,2g,Madhya Pradesh,BSNL
40458733132371,22.66587,75.89175,,"Ind-235H_Nok_Ranibagh2_Ip, Vinod Singh S/O Moti Lal Singh, 160 Shi Khasan Avanu Fase Ii, Indore, 452020",,,,,,,2g,Madhya Pradesh,BSNL
40458733132372,22.66587,75.89175,,"Ind-235H_Nok_Ranibagh2_Ip, Vinod Singh S/O Moti Lal Singh, 160 Shi Khasan Avanu Fase Ii, Indore, 452020",,,,,,,2g,Madhya Pradesh,BSNL
40458733132373,22.66587,75.89175,,"Ind-235H_Nok_Ranibagh2_Ip, Vinod Singh S/O Moti Lal Singh, 160 Shi Khasan Avanu Fase Ii, Indore, 452020",,,,,,,2g,Madhya Pradesh,BSNL
40458733132381,22.75144,75.93085,,"Ind-228H_Nok_Bestprice, Atc, Mp/In/Id/10524, Mr. Sonal Paniya W/O Mr. Ritesh Paniya, 1089, Hare Krishna Vihar, Gram Panchayat-Nipaniya, Behind Best Price, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132382,22.75144,75.93085,,"Ind-228H_Nok_Bestprice, Atc, Mp/In/Id/10524, Mr. Sonal Paniya W/O Mr. Ritesh Paniya, 1089, Hare Krishna Vihar, Gram Panchayat-Nipaniya, Behind Best Price, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132383,22.75144,75.93085,,"Ind-228H_Nok_Bestprice, Atc, Mp/In/Id/10524, Mr. Sonal Paniya W/O Mr. Ritesh Paniya, 1089, Hare Krishna Vihar, Gram Panchayat-Nipaniya, Behind Best Price, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132391,22.69693,75.92928,,"Ind-229H_Nok_Bicholimardana_Ip, Rajkumar Verma S/O D C Verma, 105 Rahul Nagar, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132392,22.69693,75.92928,,"Ind-229H_Nok_Bicholimardana_Ip, Rajkumar Verma S/O D C Verma, 105 Rahul Nagar, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132393,22.69693,75.92928,,"Ind-229H_Nok_Bicholimardana_Ip, Rajkumar Verma S/O D C Verma, 105 Rahul Nagar, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132401,22.70684,75.81292,,"Ind-230H_Nok_Nooraninagar_Ip, Smt Zehera W/O Of Hussani Bhai Badwani Wale Plot No 1113 &1114 Gram Bake Survey No 118, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132402,22.70684,75.81292,,"Ind-230H_Nok_Nooraninagar_Ip, Smt Zehera W/O Of Hussani Bhai Badwani Wale Plot No 1113 &1114 Gram Bake Survey No 118, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132403,22.70684,75.81292,,"Ind-230H_Nok_Nooraninagar_Ip, Smt Zehera W/O Of Hussani Bhai Badwani Wale Plot No 1113 &1114 Gram Bake Survey No 118, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132411,22.64114,75.81914,,"Ind-231H_Nok_Shramikcolony_Ip, Chairman, Cooperative Cold Storage Socity Village-Post Rau, Tehsil Indore Distt Indore Mp, 453331",,,,,,,2g,Madhya Pradesh,BSNL
40458733132412,22.64114,75.81914,,"Ind-231H_Nok_Shramikcolony_Ip, Chairman, Cooperative Cold Storage Socity Village-Post Rau, Tehsil Indore Distt Indore Mp, 453331",,,,,,,2g,Madhya Pradesh,BSNL
40458733132413,22.64114,75.81914,,"Ind-231H_Nok_Shramikcolony_Ip, Chairman, Cooperative Cold Storage Socity Village-Post Rau, Tehsil Indore Distt Indore Mp, 453331",,,,,,,2g,Madhya Pradesh,BSNL
40458733132421,22.65697,75.88486,,"Ind-159F_Nok_Khandwaroad_Ip, Mr. Mani Lal Jain Limbodi Village, New Rambagh, Sdps Collage Indore, (M.P.)",,,,,,,2g,Madhya Pradesh,BSNL
40458733132422,22.65697,75.88486,,"Ind-159F_Nok_Khandwaroad_Ip, Mr. Mani Lal Jain Limbodi Village, New Rambagh, Sdps Collage Indore, (M.P.)",,,,,,,2g,Madhya Pradesh,BSNL
40458733132423,22.65697,75.88486,,"Ind-159F_Nok_Khandwaroad_Ip, Mr. Mani Lal Jain Limbodi Village, New Rambagh, Sdps Collage Indore, (M.P.)",,,,,,,2g,Madhya Pradesh,BSNL
40458733132431,22.7242,75.9179,,"Ind-210F_Nok_Vaibhavnagar_Ipv, Mrs. Chitra Parmar, 93-94 Extension Sanchar Nagar, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132432,22.7242,75.9179,,"Ind-210F_Nok_Vaibhavnagar_Ipv, Mrs. Chitra Parmar, 93-94 Extension Sanchar Nagar, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132433,22.7242,75.9179,,"Ind-210F_Nok_Vaibhavnagar_Ipv, Mrs. Chitra Parmar, 93-94 Extension Sanchar Nagar, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132441,22.67506,75.87908,,"Ind-252H_Nok_Radhaswamisatsang_Ip, Trilok Chand Kushwar, D.No.1, Khandwa Road, Gram Palta, Opp To Radha Swami Sat Sang Vyas, Indore.",,,,,,,2g,Madhya Pradesh,BSNL
40458733132442,22.67506,75.87908,,"Ind-252H_Nok_Radhaswamisatsang_Ip, Trilok Chand Kushwar, D.No.1, Khandwa Road, Gram Palta, Opp To Radha Swami Sat Sang Vyas, Indore.",,,,,,,2g,Madhya Pradesh,BSNL
40458733132443,22.67506,75.87908,,"Ind-252H_Nok_Radhaswamisatsang_Ip, Trilok Chand Kushwar, D.No.1, Khandwa Road, Gram Palta, Opp To Radha Swami Sat Sang Vyas, Indore.",,,,,,,2g,Madhya Pradesh,BSNL
40458733132451,22.71561,75.9169,,"Ind-239H_Nok_Bijlinagar_Tsp, Kailashkuti, 23, Bijlinagar, Bicholihapsiroad, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132452,22.71561,75.9169,,"Ind-239H_Nok_Bijlinagar_Tsp, Kailashkuti, 23, Bijlinagar, Bicholihapsiroad, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132453,22.71561,75.9169,,"Ind-239H_Nok_Bijlinagar_Tsp, Kailashkuti, 23, Bijlinagar, Bicholihapsiroad, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132461,22.76408,75.91797,,"Ind-243H_Nok_Dewasnaka5_Tsp, Plotofmr.Prashanttiwari, Vill-Nipaniya, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132462,22.76408,75.91797,,"Ind-243H_Nok_Dewasnaka5_Tsp, Plotofmr.Prashanttiwari, Vill-Nipaniya, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132463,22.76408,75.91797,,"Ind-243H_Nok_Dewasnaka5_Tsp, Plotofmr.Prashanttiwari, Vill-Nipaniya, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132471,22.79626,75.90836,,"Ind-249H_Nok_Dewasnaka7_Tsp, Mr.Sardarpreetamsinghsandhus/Omr.Puransinghsandhu, 846, Panchwaticolony, Dewasnaka, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132472,22.79626,75.90836,,"Ind-249H_Nok_Dewasnaka7_Tsp, Mr.Sardarpreetamsinghsandhus/Omr.Puransinghsandhu, 846, Panchwaticolony, Dewasnaka, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132473,22.79626,75.90836,,"Ind-249H_Nok_Dewasnaka7_Tsp, Mr.Sardarpreetamsinghsandhus/Omr.Puransinghsandhu, 846, Panchwaticolony, Dewasnaka, Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132481,22.77461,75.89017,,"Ind-251H_Nok_Khalsachowk_Tsp, Plot No- 1848 Sch No-114 Part-1 Indore",,,,,,,2g,Madhya Pradesh,BSNL
40458733132482,22.77461,75.89017,,"Ind-251H_Nok_Khalsachowk_Tsp, Plot No- 1848 Sch No-114 Part-1 Indore",,,,,,,2g,Madhya Pradesh,BSNL
